FULL NAME,TEAM,POS,AGE,GP,MPG,FTA,FT%,2PA,2P%,3PA,3P%,TrueSP,PointsPG,ReboundsPG,AssistsPG,StealsPG,BlocksPG,TurnOversPG
Cameron Oliver,Hou,F,20,4,21.9,4,0.25,20,0.75,13,0.308,0.619,10.8,5.3,1.3,0.5,1,0.75
Reggie Jackson,Lac,G,31.09,67,23,82,0.817,303,0.465,282,0.433,0.576,10.7,2.9,3.1,0.63,0.1,1.1
Ty Jerome,Okc,G-F,23.86,33,23.9,34,0.765,119,0.479,168,0.423,0.585,10.7,2.8,3.6,0.61,0.18,1.42
Grayson Allen,Mem,G,25.61,50,25.2,91,0.868,140,0.471,274,0.391,0.586,10.6,3.2,2.2,0.92,0.16,0.96
D.J. Augustin,Hou,G,33.52,20,20.8,54,0.907,63,0.476,88,0.386,0.604,10.6,2.2,3.9,0.4,0,1.55
Justin Holiday,Ind,F-G,32.12,72,30.3,85,0.788,172,0.494,453,0.382,0.571,10.5,3.6,1.7,1.03,0.57,0.75
Donte DiVincenzo,Mil,G,24.29,66,27.5,71,0.718,257,0.475,346,0.379,0.542,10.4,5.8,3.1,1.09,0.23,1.39
Cedi Osman,Cle,F,26.11,59,25.6,95,0.8,262,0.458,324,0.306,0.488,10.4,3.4,2.9,0.9,0.15,1.36
Mason Plumlee,Det,F-C,31.2,56,26.8,169,0.669,373,0.627,7,0,0.639,10.4,9.3,3.6,0.77,0.89,1.88
Delon Wright,Det,G,29.06,36,29.2,90,0.789,204,0.515,89,0.348,0.562,10.4,4.6,5,1.58,0.53,1.33
Brandon Clarke,Mem,F-G,24.66,59,24,113,0.69,418,0.565,77,0.26,0.56,10.3,5.6,1.6,1.03,0.86,0.56
Svi Mykhailiuk,Okc,G-F,23.93,30,23,20,0.7,140,0.543,143,0.336,0.531,10.3,3,1.8,0.8,0.2,1.63
Aaron Gordon,Den,F,25.67,25,25.9,44,0.705,142,0.606,64,0.266,0.564,10.2,4.7,2.2,0.68,0.56,1.16
Gary Harris,Orl,G,26.67,20,24.9,48,0.875,123,0.366,66,0.364,0.485,10.2,1.6,2.3,0.55,0.3,1.15
Monte Morris,Den,G,25.89,47,25.5,73,0.795,253,0.534,134,0.381,0.574,10.2,2,3.2,0.72,0.28,0.72
Jae Crowder,Pho,F,30.86,60,27.5,75,0.76,112,0.455,380,0.389,0.574,10.1,4.7,2.1,0.82,0.43,0.92
Daniel Gafford,Was,F-C,22.63,23,17.8,67,0.672,138,0.681,0,0,0.696,10.1,5.6,0.5,0.65,1.78,0.83
Jeremy Lamb,Ind,G-F,28.96,36,21.3,75,0.947,148,0.459,128,0.406,0.587,10.1,3.6,1.5,0.94,0.64,0.61
Theo Maledon,Okc,G,19.93,65,27.3,135,0.748,301,0.402,313,0.335,0.489,10.1,3.2,3.5,0.85,0.17,2.17
Elfrid Payton,Nyk,G,27.23,63,23.6,107,0.682,524,0.46,98,0.286,0.478,10.1,3.4,3.2,0.75,0.14,1.63
Taurean Prince,Cle,G,27.15,29,23.7,49,0.837,135,0.385,118,0.415,0.532,10.1,3.7,2.4,0.69,0.52,1.24
Bryn Forbes,Mil,G,27.82,70,19.3,61,0.77,188,0.511,341,0.452,0.631,10,1.6,0.6,0.33,0.01,0.63
Blake Griffin,Bro,F,32.17,26,21.5,55,0.782,108,0.574,81,0.383,0.61,10,4.7,2.4,0.69,0.5,1.15
Kelly Olynyk,Mia,F-C,30.08,43,26.9,40,0.775,134,0.634,242,0.318,0.549,10,6.1,2.1,0.93,0.6,1.28
Daniel Theis,Chi,F,29.12,23,24.9,43,0.651,121,0.636,57,0.281,0.584,10,5.9,1.8,0.7,0.61,1.09
Lou Williams,Atl,G,34.55,24,21.1,54,0.87,163,0.368,54,0.444,0.496,10,2.1,3.4,0.33,0.08,1.71
Delon Wright,Sac,G,29.06,27,25.8,36,0.833,142,0.5,83,0.398,0.563,10,3.9,3.6,1.56,0.37,1.3
Otto Porter Jr.,Chi,F,27.95,25,21.6,37,0.838,107,0.477,95,0.4,0.566,9.9,5.5,2,0.48,0.16,1
Dorian Finney-Smith,Dal,F,28.04,60,32,41,0.756,164,0.616,302,0.394,0.609,9.8,5.4,1.7,0.87,0.4,0.8
Frank Jackson,Det,G,23.04,40,18.5,75,0.813,143,0.51,150,0.407,0.598,9.8,2.2,0.9,0.38,0.03,0.88
Kentavious Caldwell-Pope,Lal,G,28.24,67,28.4,112,0.866,211,0.464,293,0.41,0.59,9.7,2.7,1.9,0.93,0.39,1.01
Gary Harris,Den,G,26.67,19,30.6,30,0.733,81,0.556,75,0.32,0.544,9.7,2.5,1.7,0.89,0.21,0.74
Mike Muscala,Okc,F-C,29.88,35,18.4,36,0.917,83,0.614,184,0.37,0.599,9.7,3.8,0.8,0.23,0.31,0.6
DeMarcus Cousins,Hou,C,30.76,25,20.2,59,0.746,94,0.426,116,0.336,0.511,9.6,7.6,2.4,0.84,0.72,1.56
Wayne Ellington,Det,G,33.46,46,22,35,0.8,63,0.524,275,0.422,0.625,9.6,1.8,1.5,0.39,0.2,0.72
Cameron Johnson,Pho,F,25.2,60,24,59,0.847,148,0.581,335,0.349,0.563,9.6,3.3,1.4,0.62,0.27,0.67
Isaac Okoro,Cle,F-G,20.3,67,32.4,157,0.726,345,0.501,214,0.29,0.514,9.6,3.1,1.9,0.93,0.36,1.28
Yogi Ferrell,Cle,G,28.02,2,20.3,2,0,12,0.417,9,0.333,0.434,9.5,3.5,2.5,1.5,0.5,1.5
Danny Green,Phi,G,33.9,69,28,40,0.775,113,0.434,432,0.405,0.581,9.5,3.8,1.7,1.33,0.81,0.96
Eric Paschall,Gol,F,24.53,40,17.4,94,0.713,244,0.533,54,0.333,0.561,9.5,3.2,1.3,0.3,0.18,1.08
Daniel Theis,Bos,F-C,29.12,42,24.5,67,0.687,193,0.653,95,0.347,0.625,9.5,5.2,1.6,0.6,1.02,0.98
Trevor Ariza,Mia,F,35.88,30,28,44,0.773,98,0.5,143,0.35,0.542,9.4,4.8,1.8,1,0.6,0.7
Cody Zeller,Cha,F-C,28.61,48,20.9,119,0.714,296,0.598,28,0.143,0.599,9.4,6.8,1.8,0.56,0.35,1.06
Kenyon Martin Jr.,Hou,F,20.36,45,23.7,84,0.714,222,0.572,96,0.365,0.59,9.3,5.4,1.1,0.67,0.91,0.84
Larry Nance Jr.,Cle,F-C,28.37,35,31.2,49,0.612,158,0.551,114,0.36,0.557,9.3,6.7,3.1,1.74,0.49,1.57
Landry Shamet,Bro,G,24.18,61,23,78,0.846,123,0.463,333,0.387,0.578,9.3,1.8,1.6,0.52,0.16,0.79
Desmond Bane,Mem,G,22.89,68,22.3,49,0.816,228,0.513,271,0.432,0.6,9.2,3.1,1.7,0.62,0.24,0.87
Josh Hart,Nor,G,26.2,47,28.7,89,0.775,150,0.587,193,0.326,0.568,9.2,8,2.3,0.81,0.26,1.09
James Johnson,Nor,F,34.24,22,24.5,47,0.596,122,0.516,60,0.267,0.498,9.2,4.1,2.2,0.82,0.86,1.27
David Nwaba,Hou,G-F,28.34,30,22.6,68,0.691,154,0.578,63,0.27,0.559,9.2,3.9,1,1,0.7,0.57
Patrick Williams,Chi,F,19.72,71,27.9,125,0.728,390,0.515,138,0.391,0.562,9.2,4.6,1.4,0.9,0.65,1.38
Furkan Korkmaz,Phi,G-F,23.81,55,19.3,82,0.732,155,0.445,269,0.375,0.544,9.1,2.1,1.5,0.89,0.16,0.84
De'Anthony Melton,Mem,G,22.97,52,20.1,51,0.804,182,0.467,211,0.412,0.568,9.1,3.1,2.5,1.13,0.6,1.27
Talen Horton-Tucker,Lal,G,20.47,65,20.1,129,0.775,357,0.524,131,0.282,0.537,9,2.6,2.8,0.97,0.32,1.63
Justin Jackson,Mil,F,26.14,1,32.6,2,0.5,3,0.333,6,0.333,0.455,9,6,1,0,0,1
Robin Lopez,Was,C,33.12,71,19.1,137,0.723,406,0.65,18,0.278,0.663,9,3.8,0.8,0.21,0.62,1.06
Paul Millsap,Den,F,36.26,56,20.8,98,0.724,258,0.55,143,0.343,0.565,9,4.7,1.8,0.91,0.64,0.91
Jaylen Nowell,Min,G,21.86,42,18.1,55,0.818,185,0.497,150,0.333,0.528,9,2.3,1.5,0.52,0.29,0.67
Ivica Zubac,Lac,C,24.16,72,22.3,171,0.789,390,0.656,4,0.25,0.693,9,7.2,1.3,0.33,0.86,1.13
Bruce Brown,Bro,G-F,24.75,65,22.3,117,0.735,364,0.599,59,0.288,0.604,8.8,5.4,1.6,0.86,0.43,0.83
Michael Carter-Williams,Orl,G,29.6,31,25.8,80,0.613,209,0.431,61,0.246,0.449,8.8,4.5,4.1,0.81,0.55,2.23
Danuel House Jr.,Hou,F-G,27.94,36,25.9,63,0.651,116,0.483,156,0.346,0.525,8.8,3.7,1.9,0.58,0.44,1
Jay Scrubb,Lac,G,20.71,4,21.1,5,1,27,0.444,9,0.222,0.458,8.8,3.5,0.3,1,0,1.75
Tony Bradley,Okc,C-F,23.35,22,18,44,0.705,120,0.667,2,0,0.676,8.7,6.1,0.9,0.41,0.77,1.23
Raul Neto,Was,G,28.99,64,21.9,85,0.882,283,0.512,164,0.39,0.575,8.7,2.4,2.3,1.14,0.09,0.83
JJ Redick,Nor,G,36.89,31,18.6,47,0.957,74,0.486,140,0.364,0.575,8.7,1.7,1.3,0.29,0.06,0.81
Austin Rivers,Den,G,28.79,15,26.9,17,0.706,38,0.5,72,0.375,0.558,8.7,2.3,2.6,1.2,0.13,0.93
Isaiah Roby,Okc,F,23.28,61,23.4,117,0.744,320,0.547,109,0.294,0.555,8.7,5.6,1.8,0.85,0.61,1.85
Dario Saric,Pho,F-C,27.11,50,17.4,99,0.848,207,0.512,135,0.348,0.567,8.7,3.8,1.3,0.6,0.08,1.14
Moses Brown,Okc,C,21.59,43,21.4,126,0.619,269,0.543,0,0,0.57,8.6,8.9,0.2,0.72,1.12,1
T.J. McConnell,Ind,G,29.14,69,26,48,0.688,442,0.586,48,0.313,0.583,8.6,3.7,6.6,1.86,0.33,1.96
Jakob Poeltl,San,C,25.59,69,26.7,124,0.508,430,0.616,0,0,0.612,8.6,7.9,1.9,0.68,1.78,1.22
Ricky Rubio,Min,G,30.57,68,26.1,150,0.867,284,0.447,214,0.308,0.516,8.6,3.3,6.4,1.46,0.06,1.63
Avery Bradley,Mia,G,30.47,10,21.1,9,0.778,28,0.536,38,0.421,0.607,8.5,1.8,1.4,0.7,0.1,0.9
Robert Covington,Por,F,30.42,70,32,62,0.806,153,0.451,356,0.379,0.553,8.5,6.7,1.7,1.44,1.2,0.91
Gabriel Deck,Okc,F,26.27,10,21.2,22,0.818,52,0.577,15,0.133,0.548,8.4,4,2.4,0.8,0,0.6
James Ennis III,Orl,F,30.88,41,24.1,87,0.805,139,0.504,104,0.433,0.613,8.4,4,1.5,0.78,0.17,0.9
Cameron Payne,Pho,G,26.77,60,18,56,0.893,229,0.515,166,0.44,0.602,8.4,2.4,3.6,0.6,0.27,1
Isaiah Hartenstein,Cle,C-F,23.03,16,17.9,35,0.686,85,0.6,6,0.333,0.62,8.3,6,2.5,0.5,1.19,1.44
Luke Kennard,Lac,G,24.89,63,19.6,31,0.839,190,0.511,224,0.446,0.608,8.3,2.6,1.7,0.35,0.14,0.76
Mitchell Robinson,Nyk,C-F,23.13,31,27.5,53,0.491,176,0.653,0,0,0.642,8.3,8.1,0.5,1.13,1.45,0.84
Sterling Brown,Hou,G-F,26.26,51,24.1,31,0.806,119,0.496,215,0.423,0.598,8.2,4.4,1.4,0.75,0.24,0.8
Aleksej Pokusevski,Okc,C,19.39,45,24.2,42,0.738,201,0.403,207,0.28,0.43,8.2,4.7,2.2,0.44,0.93,2.2
Nicolas Batum,Lac,G-F,32.42,67,27.4,58,0.828,141,0.574,271,0.406,0.617,8.1,4.7,2.2,1.03,0.55,0.79
JaMychal Green,Den,F-C,30.9,58,19.3,57,0.807,176,0.534,198,0.399,0.59,8.1,4.8,0.9,0.45,0.38,0.91
Taurean Prince,Bro,F,27.15,12,18.2,27,0.889,37,0.459,37,0.351,0.565,8.1,2.8,0.6,0.67,0.67,0.92
Hassan Whiteside,Sac,C,31.93,36,15.2,79,0.519,223,0.565,1,0,0.566,8.1,6,0.6,0.25,1.28,1.11
Mo Bamba,Orl,C,23.01,46,15.8,66,0.682,183,0.568,118,0.322,0.556,8,5.8,0.8,0.3,1.26,0.8
Tyrese Maxey,Phi,G,20.53,61,15.3,70,0.871,326,0.512,103,0.301,0.531,8,1.7,2,0.43,0.21,0.67
JaVale McGee,Cle,C-F,33.32,33,15.2,55,0.655,195,0.549,20,0.25,0.554,8,5.2,1,0.48,1.21,1.36
Ben McLemore,Lal,G,28.26,21,17.5,21,0.762,27,0.481,114,0.368,0.559,8,1.6,0.5,0.14,0.29,0.71
Otto Porter Jr.,Orl,F,27.95,3,22.2,5,1,16,0.5,9,0.111,0.441,8,4.7,1.7,1.33,0,0
Robert Williams III,Bos,C-F,23.58,52,18.9,73,0.616,256,0.727,2,0,0.719,8,6.9,1.8,0.83,1.77,1
Kenrich Williams,Okc,G-F,26.46,66,21.6,63,0.571,294,0.568,117,0.444,0.599,8,4.1,2.3,0.86,0.26,1.15
Gorgui Dieng,Mem,C,31.33,22,16.9,43,0.884,60,0.55,48,0.479,0.682,7.9,4.5,1.3,0.77,0.64,1
Isaiah Stewart,Det,F-C,19.99,68,21.4,92,0.696,346,0.592,63,0.333,0.597,7.9,6.7,0.9,0.56,1.26,0.99
DeMarcus Cousins,Lac,C,30.76,16,12.9,22,0.682,76,0.566,19,0.421,0.597,7.8,4.5,1,0.81,0.38,1.56
Willy Hernangomez,Nor,C-F,26.97,47,18,93,0.667,258,0.581,10,0.1,0.591,7.8,7.1,1.1,0.47,0.49,0.72
Chuma Okeke,Orl,F,22.75,45,25.2,40,0.75,183,0.47,141,0.348,0.511,7.8,4,2.2,1.07,0.51,0.84
Anfernee Simons,Por,G,21.94,64,17.3,57,0.807,120,0.4,281,0.427,0.589,7.8,2.2,1.4,0.28,0.13,0.67
PJ Dozier,Den,G-F,24.56,50,21.8,66,0.636,205,0.493,149,0.315,0.503,7.7,3.6,1.8,0.62,0.44,0.94
Mike James,Bro,G,30.75,13,18.2,27,0.778,61,0.377,31,0.355,0.481,7.7,2.5,4.2,0.46,0.08,1.54
Naji Marshall,Nor,F,23.31,32,21.9,75,0.707,126,0.421,83,0.349,0.508,7.7,4.6,2.8,0.81,0.31,1.19
Payton Pritchard,Bos,G,23.3,66,19.2,45,0.889,170,0.482,248,0.411,0.582,7.7,2.4,1.8,0.56,0.14,0.8
Tomas Satoransky,Chi,G,29.55,58,22.5,79,0.848,210,0.605,118,0.356,0.616,7.7,2.4,4.7,0.69,0.24,1.66
Isaiah Thomas,Nor,G,32.27,3,16.1,2,1,15,0.4,12,0.25,0.412,7.7,1.3,1.7,0.33,0,2
Steven Adams,Nor,C,27.83,58,27.7,135,0.444,305,0.62,3,0,0.596,7.6,8.9,1.9,0.93,0.66,1.36
Rajon Rondo,Lac,G,35.23,18,20.4,15,1,61,0.525,44,0.432,0.609,7.6,3.1,5.8,0.94,0.11,2.22
Garrett Temple,Chi,G-F,35.03,56,27.3,50,0.8,181,0.503,200,0.335,0.525,7.6,2.8,2.2,0.77,0.52,1.02
Tristan Thompson,Bos,C-F,30.18,54,23.8,120,0.592,323,0.523,3,0,0.54,7.6,8.1,1.2,0.44,0.61,1.15
Patrick Beverley,Lac,G,32.84,37,22.5,45,0.8,79,0.468,141,0.397,0.58,7.5,3.2,2.1,0.76,0.76,0.92
Henry Ellenson,Tor,F-C,24.34,2,19.2,4,0.75,5,0.6,9,0.222,0.476,7.5,6,2.5,0,0.5,0
Malachi Flynn,Tor,G,23.02,47,19.7,56,0.804,173,0.422,168,0.321,0.483,7.5,2.5,2.9,0.83,0.15,0.91
Jaxson Hayes,Nor,C-F,20.98,60,16.1,120,0.775,266,0.635,14,0.429,0.675,7.5,4.3,0.6,0.42,0.63,0.65
DeAndre Jordan,Bro,C,32.82,57,21.9,92,0.5,249,0.763,1,0,0.733,7.5,7.5,1.6,0.3,1.14,1.49
Edmond Sumner,Ind,G,25.38,53,16.2,83,0.819,194,0.582,88,0.398,0.626,7.5,1.8,0.9,0.62,0.19,0.96
Jalen Harris,Tor,G,22.76,13,13.2,9,0.778,36,0.528,36,0.472,0.632,7.4,1.4,1.3,0.62,0,1.08
Jalen McDaniels,Cha,F-C,23.29,47,19.2,64,0.703,179,0.547,105,0.333,0.554,7.4,3.6,1.1,0.6,0.4,0.96
Ben McLemore,Hou,G,28.26,32,16.8,32,0.719,58,0.431,166,0.331,0.5,7.4,2.1,0.9,0.63,0.09,0.88
Louis King,Sac,F,22.11,6,14.2,6,1,23,0.565,11,0.364,0.6,7.3,3,1.5,1.17,0.5,0.67
Austin Rivers,Nyk,G,28.79,21,21.1,14,0.714,58,0.517,77,0.364,0.545,7.3,2.2,2,0.57,0,1.05
Dennis Smith Jr.,Det,G,23.47,20,19.6,20,0.7,80,0.463,55,0.345,0.504,7.3,2.7,3.7,1,0.7,1.25
Kent Bazemore,Gol,G-F,31.88,67,19.9,78,0.692,208,0.486,184,0.408,0.564,7.2,3.4,1.6,1.03,0.49,1.22
Nemanja Bjelica,Sac,F,33.02,26,16.9,42,0.762,92,0.565,58,0.293,0.555,7.2,3.8,1.9,0.31,0.08,1.08
Torrey Craig,Pho,F,30.41,32,18.8,20,0.8,97,0.619,84,0.369,0.603,7.2,4.8,1,0.59,0.59,0.63
Juancho Hernangomez,Min,F,25.63,52,17.3,97,0.619,131,0.573,168,0.327,0.549,7.2,3.9,0.7,0.37,0.13,0.52
Aaron Holiday,Ind,G,24.63,66,17.8,83,0.819,254,0.406,182,0.368,0.503,7.2,1.3,1.9,0.7,0.2,1
Justin Jackson,Okc,F,26.14,33,16.5,35,0.857,101,0.515,111,0.306,0.519,7.2,2.2,1.5,0.45,0.06,0.94
Dewayne Dedmon,Mia,C,31.76,16,13.2,27,0.741,60,0.75,5,0.2,0.735,7.1,5.4,0.8,0.56,0.38,0.81
Maxi Kleber,Dal,F,29.3,50,26.8,37,0.919,63,0.46,212,0.41,0.606,7.1,5.2,1.4,0.48,0.7,0.6
Alex Len,Was,C,27.92,57,15.8,110,0.636,249,0.647,19,0.263,0.643,7.1,4.4,0.8,0.33,1.02,0.82
Moritz Wagner,Was,F-C,24.06,25,15,52,0.788,80,0.613,42,0.31,0.614,7.1,2.9,1.3,0.88,0.32,0.84
Draymond Green,Gol,F,31.2,63,31.5,88,0.795,254,0.535,126,0.27,0.53,7,7.1,8.9,1.7,0.83,2.98
Dwight Howard,Phi,C-F,35.44,69,17.3,210,0.576,283,0.611,20,0.25,0.61,7,8.4,0.9,0.43,0.9,1.62
Terance Mann,Lac,G-F,24.58,67,18.9,94,0.83,259,0.541,91,0.418,0.603,7,3.6,1.6,0.45,0.19,0.6
Royce O'Neale,Uta,F,27.95,71,31.6,46,0.848,116,0.586,278,0.385,0.599,7,6.8,2.5,0.8,0.45,1.17
Terence Davis,Tor,G,24,34,14.5,18,0.889,88,0.489,122,0.361,0.537,6.9,1.9,1.1,0.5,0.21,0.85
Maurice Harkless,Sac,F-G,28.02,26,24.9,41,0.805,79,0.582,73,0.247,0.526,6.9,3,1.4,1.08,0.65,0.77
Damian Jones,Sac,C,25.88,17,20,35,0.714,66,0.682,4,0.25,0.691,6.9,4.5,1.4,0.53,1,0.88
Svi Mykhailiuk,Det,G-F,23.93,36,17.6,30,0.8,52,0.519,171,0.333,0.527,6.9,2.1,1.6,0.75,0.17,1.08
Georges Niang,Uta,F,27.92,72,16,23,0.957,113,0.469,292,0.425,0.602,6.9,2.4,0.8,0.36,0.1,0.71
Jeff Teague,Bos,G,32.93,34,18.1,61,0.836,132,0.394,56,0.464,0.542,6.9,1.7,2.1,0.76,0.21,1.15
Brad Wanamaker,Cha,G,31.81,22,19.5,45,0.889,102,0.5,24,0.125,0.518,6.9,1.8,3.4,0.73,0.23,1.55
Pat Connaughton,Mil,G,28.36,69,22.8,40,0.775,115,0.583,272,0.371,0.578,6.8,4.8,1.2,0.68,0.33,0.48
Killian Hayes,Det,G,19.81,26,25.8,17,0.824,129,0.395,72,0.278,0.422,6.8,2.7,5.3,1.04,0.38,3.19
Derrick Jones Jr.,Por,F,24.25,58,22.7,91,0.648,168,0.619,136,0.316,0.576,6.8,3.5,0.8,0.64,0.93,0.55
Jaden McDaniels,Min,F,20.63,63,24,45,0.6,169,0.544,198,0.364,0.552,6.8,3.7,1.1,0.56,0.95,0.75
Justise Winslow,Mem,F-G,25.14,26,19.5,35,0.571,156,0.41,54,0.185,0.395,6.8,4.5,1.9,0.58,0.46,1.42
Spencer Dinwiddie,Bro,G,28.11,3,21.4,6,1,9,0.444,7,0.286,0.536,6.7,4.3,3,0.67,0.33,1.67
Damyean Dotson,Cle,G,27.03,46,19.7,36,0.667,134,0.545,159,0.289,0.499,6.7,2,2,0.35,0.09,0.91
Markieff Morris,Lal,F,31.7,61,19.7,50,0.72,169,0.521,209,0.311,0.509,6.7,4.4,1.2,0.36,0.31,0.89
Abdel Nader,Pho,F,27.64,24,14.8,37,0.757,73,0.534,43,0.419,0.605,6.7,2.6,0.8,0.42,0.38,0.79
Ish Smith,Was,G,32.86,44,21,33,0.576,248,0.448,49,0.367,0.473,6.7,3.4,3.9,0.73,0.3,0.93
Trey Burke,Dal,G,28.51,62,14.7,57,0.895,189,0.492,164,0.354,0.544,6.6,0.9,1.3,0.6,0.1,0.53
Nicolas Claxton,Bro,F-C,22.08,32,18.6,64,0.484,140,0.636,5,0.2,0.612,6.6,5.2,0.9,0.72,1.25,0.56
Cory Joseph,Sac,G,29.74,44,21.5,47,0.766,156,0.513,94,0.33,0.534,6.6,2.3,2.5,0.86,0.2,1
Frank Kaminsky,Pho,F-C,28.12,47,15.2,60,0.617,172,0.523,85,0.365,0.547,6.6,4,1.7,0.3,0.36,0.47
Jeff Teague,Mil,G,32.93,21,15.9,44,0.864,69,0.507,26,0.385,0.603,6.6,1.5,2.8,0.38,0.24,1.19
Xavier Tillman,Mem,F,22.34,59,18.4,53,0.642,234,0.62,65,0.338,0.605,6.6,4.3,1.3,0.75,0.56,0.76
Marquese Chriss,Gol,F,23.87,2,13.4,4,0.5,9,0.444,5,0.2,0.412,6.5,6.5,1,0,1,1
Damion Lee,Gol,G-F,28.57,57,18.9,44,0.909,80,0.638,194,0.397,0.636,6.5,3.2,1.3,0.67,0.14,0.53
Chasson Randle,Orl,G,28.28,41,20.4,48,0.792,107,0.449,130,0.338,0.515,6.5,2,1.8,0.56,0.12,1.12
Cameron Reynolds,Hou,F,26.27,2,17.2,0,0,4,0.5,12,0.25,0.406,6.5,2.5,1,0,0,0
Denzel Valentine,Chi,G,27.5,62,16.7,17,0.941,174,0.431,242,0.331,0.479,6.5,3.2,1.7,0.48,0.11,0.68
Alex Caruso,Lal,G,27.21,58,21,76,0.645,168,0.464,137,0.401,0.547,6.4,2.9,2.8,1.1,0.26,1.31
Kira Lewis Jr.,Nor,G,20.11,54,16.7,51,0.843,217,0.415,120,0.333,0.477,6.4,1.3,2.3,0.7,0.19,0.63
Timothe Luwawu-Cabarrot,Bro,G-F,26.02,58,18.1,43,0.814,117,0.47,239,0.314,0.493,6.4,2.2,1.2,0.57,0.1,0.74
Jabari Parker,Bos,F,26.17,10,13.8,13,0.769,38,0.632,10,0.2,0.596,6.4,3.6,1,0.1,0.4,0.7
Deni Avdija,Was,F,20.37,54,23.3,45,0.644,144,0.535,168,0.315,0.515,6.3,4.8,1.2,0.59,0.28,0.61
Tyus Jones,Mem,G,25.02,70,17.5,45,0.911,273,0.487,140,0.321,0.511,6.3,2,3.7,0.9,0.09,0.69
Frank Mason,Orl,G,27.12,4,19.8,7,0.714,19,0.368,5,0.4,0.462,6.3,3,3,0,0,1.25
Chimezie Metu,Sac,F-C,24.15,36,13.6,43,0.721,142,0.549,37,0.351,0.571,6.3,3.1,0.8,0.39,0.53,0.81
D.J. Augustin,Mil,G,33.52,37,19.3,40,0.9,63,0.349,129,0.38,0.542,6.1,1.4,3,0.54,0.03,0.92
Aron Baynes,Tor,C-F,34.44,53,18.5,41,0.707,200,0.535,103,0.262,0.505,6.1,5.2,0.9,0.3,0.43,0.87
Facundo Campazzo,Den,G,30.15,65,21.9,91,0.879,99,0.444,216,0.352,0.558,6.1,2.1,3.6,1.22,0.22,1.12
Quinn Cook,Cle,G,28.15,7,13.6,3,1,29,0.379,13,0.462,0.496,6.1,1.7,1.9,0.43,0,0.57
Robert Franks,Orl,F,20,7,14.4,13,0.923,13,0.615,15,0.333,0.638,6.1,2,0.7,0.43,0.43,0.29
Jaylen Hoard,Okc,F,22.13,19,16.8,41,0.683,77,0.571,11,0,0.547,6.1,3.4,1.3,0.68,0.26,0.89
Max Strus,Mia,G-F,25.13,39,13,24,0.667,39,0.897,148,0.338,0.597,6.1,1.1,0.6,0.28,0.05,0.21
D.J. Wilson,Hou,F-C,25.24,23,14.3,23,0.696,66,0.485,59,0.339,0.518,6.1,3.8,0.9,0.43,0.52,0.78
George Hill,Phi,G,35.04,16,18.9,25,0.76,54,0.463,23,0.391,0.545,6,2,1.9,0.69,0.19,1.19
Dakota Mathias,Phi,G,25.85,8,15.4,6,0.333,22,0.5,26,0.308,0.474,6,0.9,1.6,0.13,0.38,0.13
Dean Wade,Cle,F-C,24.49,63,19.2,39,0.769,98,0.571,213,0.366,0.573,6,3.4,1.2,0.54,0.33,0.48
Dwight Powell,Dal,F-C,29.83,58,16.6,124,0.782,173,0.665,21,0.238,0.688,5.9,4.1,1.1,0.6,0.52,0.69
Drew Eubanks,San,F-C,24.29,54,14,106,0.726,203,0.562,2,1,0.618,5.8,4.5,0.8,0.33,0.91,0.83
Mason Jones,Hou,G,22.82,26,11.8,57,0.614,50,0.48,64,0.359,0.546,5.8,2,1.5,0.23,0.04,1.08
DeAndre' Bembry,Tor,G-F,26.87,51,19.1,66,0.682,175,0.589,53,0.264,0.57,5.7,2.9,2.1,1.04,0.35,1.39
James Johnson,Dal,F,34.24,29,17.4,29,0.586,85,0.612,60,0.25,0.526,5.7,3,1.7,0.83,0.79,0.93
Rodney McGruder,Det,G,29.8,16,12.1,8,0.75,46,0.565,24,0.458,0.619,5.7,1.4,1,0.5,0.06,0.44
Jordan Nwora,Mil,F,22.69,30,9.1,25,0.76,73,0.466,62,0.452,0.586,5.7,2,0.2,0.53,0.23,0.8
Juan Toscano-Anderson,Gol,F,28.1,53,20.9,31,0.71,117,0.718,92,0.402,0.676,5.7,4.4,2.8,0.77,0.49,1.17
Freddie Gillespie,Tor,F,20,20,19.6,33,0.697,84,0.524,0,0,0.563,5.6,4.9,0.5,0.65,1.05,0.6
Donta Hall,Orl,C,23.78,13,13.8,34,0.676,35,0.714,0,0,0.731,5.6,4.8,0.8,0.38,0.77,0.62
Saben Lee,Det,G,21.9,48,16.3,89,0.685,187,0.487,23,0.348,0.536,5.6,2,3.6,0.67,0.27,1.15
Mychal Mulder,Gol,G,26.93,60,12.8,22,0.636,51,0.667,214,0.397,0.613,5.6,1,0.4,0.2,0.2,0.27
Al-Farouq Aminu,Orl,F,30.65,17,21.6,17,0.824,58,0.5,31,0.226,0.482,5.5,5.4,1.7,1,0.53,1.47
Tony Bradley,Phi,C-F,23.35,20,14.4,11,0.636,74,0.689,1,0,0.683,5.5,5.2,0.9,0.3,0.65,0.3
Troy Brown Jr.,Chi,G-F,21.8,13,18.2,6,0.833,31,0.677,24,0.333,0.616,5.5,3.4,0.8,0.54,0.15,0.38
Tyler Cook,Det,F,23.65,28,15,35,0.486,98,0.684,2,0.5,0.667,5.5,3.4,0.5,0.29,0.07,0.75
