FULL NAME,TEAM,POS,AGE,GP,MPG,FTA,FT%,2PA,2P%,3PA,3P%,TrueSP,PointsPG,ReboundsPG,AssistsPG,StealsPG,BlocksPG,TurnOversPG
Domantas Sabonis,Ind,F-C,25.04,62,36,328,0.732,742,0.582,162,0.321,0.601,20.3,12,6.7,1.23,0.53,3.44
Kristaps Porzingis,Dal,F-C,25.79,43,30.9,138,0.855,425,0.536,258,0.376,0.582,20.1,8.9,1.6,0.47,1.35,1.19
Victor Oladipo,Ind,G,29.03,9,33.3,37,0.73,83,0.47,69,0.362,0.535,20,5.7,4.2,1.67,0.22,2
Evan Fournier,Orl,G-F,28.55,26,30.3,123,0.797,181,0.536,188,0.388,0.604,19.7,2.9,3.7,1.04,0.35,2.08
Malik Beasley,Min,G,24.47,37,32.8,80,0.85,279,0.487,321,0.399,0.57,19.6,4.4,2.4,0.81,0.19,1.62
Gordon Hayward,Cha,F,31.15,44,34,185,0.843,453,0.499,205,0.415,0.584,19.6,5.9,4.1,1.18,0.32,2.07
Norman Powell,Tor,G,27.98,42,30.4,163,0.865,297,0.552,269,0.439,0.645,19.6,3,1.8,1.12,0.19,1.83
Fred VanVleet,Tor,G,27.22,52,36.5,191,0.885,394,0.416,476,0.366,0.534,19.6,4.2,6.3,1.67,0.71,1.83
Tobias Harris,Phi,F,28.84,62,32.5,204,0.892,716,0.546,208,0.394,0.597,19.5,6.8,3.5,0.89,0.82,1.73
Anthony Edwards,Min,G,19.78,72,32.1,272,0.776,690,0.484,520,0.329,0.523,19.3,4.7,2.9,1.14,0.49,2.24
Kemba Walker,Bos,G,31.03,43,31.8,149,0.899,323,0.486,353,0.36,0.559,19.3,4,4.9,1.12,0.28,2.05
Ja Morant,Mem,G,21.77,63,32.6,372,0.728,716,0.499,241,0.303,0.537,19.1,4,7.4,0.9,0.21,3.22
Kelly Olynyk,Hou,F-C,30.08,27,31.1,135,0.844,196,0.643,125,0.392,0.674,19,8.4,4.1,1.44,0.59,2.63
Michael Porter Jr.,Den,F,22.88,61,31.3,134,0.791,435,0.628,382,0.445,0.663,19,7.3,1.1,0.66,0.89,1.28
D'Angelo Russell,Min,G,25.23,42,28.5,149,0.765,342,0.471,310,0.387,0.555,19,2.6,5.8,1.07,0.43,2.67
Bam Adebayo,Mia,C-F,23.83,64,33.5,354,0.799,792,0.573,8,0.25,0.626,18.7,9,5.4,1.17,1.03,2.64
Andrew Wiggins,Gol,F,26.23,71,33.3,238,0.714,690,0.529,368,0.38,0.568,18.6,4.9,2.4,0.93,0.99,1.76
Caris LeVert,Bro,G,26.73,12,27.8,34,0.765,137,0.474,63,0.349,0.516,18.5,4.3,6,1.08,0.5,2.17
Jordan Clarkson,Uta,G,28.94,68,26.7,144,0.896,476,0.523,599,0.347,0.549,18.4,4,2.5,0.9,0.15,1.69
Eric Gordon,Hou,G,32.39,27,29.2,114,0.825,157,0.573,210,0.329,0.577,17.8,2.1,2.6,0.52,0.48,1.89
Jrue Holiday,Mil,G,30.93,59,32.3,136,0.787,540,0.561,283,0.392,0.592,17.7,4.5,6.1,1.64,0.63,2.15
RJ Barrett,Nyk,F-G,20.92,72,34.9,276,0.746,750,0.457,309,0.401,0.535,17.6,5.8,3,0.74,0.28,1.93
John Collins,Atl,F-C,23.65,63,29.3,204,0.833,563,0.615,208,0.399,0.645,17.6,7.4,1.2,0.54,1,1.33
Andre Drummond,Cle,C,27.77,25,28.9,129,0.597,372,0.484,8,0,0.5,17.5,13.5,2.6,1.6,1.16,3.24
Darius Garland,Cle,G,21.3,54,33.1,132,0.848,536,0.479,266,0.395,0.547,17.4,2.4,6.1,1.22,0.11,3.04
Dillon Brooks,Mem,G-F,25.32,67,29.8,195,0.815,659,0.461,372,0.344,0.515,17.2,2.9,2.3,1.16,0.39,1.78
Kyle Lowry,Tor,G,35.15,46,34.8,160,0.875,265,0.487,331,0.396,0.593,17.2,5.3,7.3,1.02,0.26,2.74
Jonas Valanciunas,Mem,C,29.03,62,28.3,203,0.773,685,0.612,57,0.368,0.636,17.1,12.5,1.8,0.56,0.92,1.61
Bojan Bogdanovic,Uta,F,32.08,72,30.8,265,0.879,464,0.487,461,0.39,0.588,17,3.9,1.9,0.63,0.06,1.78
Norman Powell,Por,G,27.98,27,34.4,108,0.88,205,0.502,147,0.361,0.576,17,3.3,1.9,1.3,0.37,1.59
Tim Hardaway Jr.,Dal,G-F,29.17,70,28.4,174,0.816,382,0.524,529,0.391,0.589,16.6,3.3,1.8,0.44,0.16,0.91
Buddy Hield,Sac,G,28.41,71,34.3,104,0.846,271,0.446,721,0.391,0.567,16.6,4.7,3.6,0.89,0.42,1.83
Kevin Porter Jr.,Hou,G-F,21.03,26,32.1,94,0.734,206,0.515,161,0.311,0.528,16.6,3.8,6.3,0.73,0.31,3.5
Bogdan Bogdanovic,Atl,G,28.74,44,29.7,44,0.909,232,0.522,333,0.438,0.616,16.4,3.6,3.3,1.11,0.3,1.23
Chris Paul,Pho,G,36.03,70,31.4,181,0.934,621,0.543,258,0.395,0.599,16.4,4.4,8.9,1.43,0.26,2.23
Khyri Thomas,Hou,G,25.02,5,30.6,9,1,39,0.59,27,0.333,0.586,16.4,3.6,5,1.8,1.2,1.2
Mike Conley,Uta,G,33.6,51,29.4,142,0.852,305,0.479,335,0.412,0.589,16.2,3.5,6,1.37,0.18,1.94
Gary Trent Jr.,Tor,G-F,22.33,17,31.8,31,0.806,137,0.431,124,0.355,0.501,16.2,3.6,1.3,1.12,0.24,0.71
Harrison Barnes,Sac,F,28.96,58,36.3,235,0.83,386,0.567,256,0.391,0.626,16.1,6.6,3.5,0.74,0.19,1.6
Elijah Bryant,Mil,G,20,1,31.6,3,1,8,0.625,5,0.2,0.559,16,6,3,0,1,4
OG Anunoby,Tor,F,23.83,43,33.3,102,0.784,257,0.564,261,0.398,0.606,15.9,5.5,2.2,1.53,0.72,1.74
LaMelo Ball,Cha,G,19.74,51,28.8,165,0.758,411,0.489,261,0.352,0.539,15.7,5.9,6.1,1.59,0.35,2.84
Dejounte Murray,San,G,24.66,67,31.9,134,0.791,775,0.488,199,0.317,0.509,15.7,7.1,5.4,1.51,0.1,1.75
Terrence Ross,Orl,G-F,30.28,46,29.3,138,0.87,352,0.469,264,0.337,0.53,15.6,3.4,2.4,1.02,0.46,1.59
T.J. Warren,Ind,F,27.7,4,29.4,10,0.8,44,0.614,7,0,0.56,15.5,3.5,1.3,0.5,0,1
Kelly Oubre Jr.,Gol,F-G,25.44,55,30.7,177,0.695,439,0.519,285,0.316,0.529,15.4,6,1.3,1.04,0.76,1.27
Dennis Schroder,Lal,G,27.67,61,32.1,243,0.848,548,0.476,212,0.335,0.543,15.4,3.5,5.8,1.16,0.21,2.67
Derrick White,San,G,26.87,36,29.5,114,0.851,210,0.486,243,0.346,0.55,15.4,3,3.5,0.72,1,1.25
